# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.newThreadsCount,1735140522530000000,1735140582819000000,158
JVM.totalDirectByteBuffersBytes,1735140522530000000,1735140582819000000,138137091
JVM.usedNativeBytes,1735140522530000000,1735140582819000000,322788736
JVM.maxThreadCount,1735140522530000000,1735140582819000000,131
JVM.totalSafepointCount,1735140522530000000,1735140582819000000,202
OS.loadAverage,1735140522530000000,1735140582819000000,2.92919921875
JVM.totalBytesAllocated,1735140522530000000,1735140582819000000,2867344232
JVM.usedHeapBytes,1735140522530000000,1735140582819000000,590348288
cacheStateStorage.set.counter,1735140522530000000,1735140582819000000,4
cacheStateStorage.set.duration,1735140522530000000,1735140582819000000,54
cacheStateStorage.get.counter,1735140522530000000,1735140582819000000,47
cacheStateStorage.get.duration,1735140522530000000,1735140582819000000,201
lexer.Markdown.time.ns,1735140522530000000,1735140582819000000,85554884
lexer.Python.size.bytes,1735140522530000000,1735140582819000000,73695
parser.HTML.size.bytes,1735140522530000000,1735140582819000000,0
lexer.Markdown.size.bytes,1735140522530000000,1735140582819000000,6544
writeAction.max.wait.ms,1735140522530000000,1735140582819000000,18
writeAction.median.wait.ms,1735140522530000000,1735140582819000000,0
lexer.HTML.time.ns,1735140522530000000,1735140582819000000,732688
parser.Python.time.ns,1735140522530000000,1735140582819000000,962003065
writeAction.count,1735140522530000000,1735140582819000000,9
lexer.Python.time.ns,1735140522530000000,1735140582819000000,196115930
writeAction.wait.ms,1735140522530000000,1735140582819000000,30
parser.Markdown.size.bytes,1735140522530000000,1735140582819000000,6544
lexer.HTML.size.bytes,1735140522530000000,1735140582819000000,0
parser.HTML.time.ns,1735140522530000000,1735140582819000000,6941218
parser.Markdown.time.ns,1735140522530000000,1735140582819000000,40689945
parser.Python.size.bytes,1735140522530000000,1735140582819000000,73695
workspaceModel.cachedValueWithParameters.calculated.count,1735140522530000000,1735140582819000000,0
workspaceModel.initializing.ms,1735140522530000000,1735140582819000000,3
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1735140522530000000,1735140582819000000,1
workspaceModel.workspaceFileIndexData.instances.count,1735140522530000000,1735140582819000000,1
workspaceModel.workspaceFileIndexData.getPackageName.ms,1735140522530000000,1735140582819000000,0
workspaceModel.cachedValue.total.get.count,1735140522530000000,1735140582819000000,3653
workspaceModel.full.replace.project.model.ms,1735140522530000000,1735140582819000000,7
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1735140522530000000,1735140582819000000,1202
workspaceModel.updates.ms,1735140522530000000,1735140582819000000,70
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1735140522530000000,1735140582819000000,0
workspaceModel.check.recursive.update.ms,1735140522530000000,1735140582819000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1735140522530000000,1735140582819000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1735140522530000000,1735140582819000000,0
workspaceModel.replace.project.model.ms,1735140522530000000,1735140582819000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1735140522530000000,1735140582819000000,0
workspaceModel.collect.changes.ms,1735140522530000000,1735140582819000000,0
workspaceModel.loading.from.cache.ms,1735140522530000000,1735140582819000000,444
workspaceModel.on.before.changed.ms,1735140522530000000,1735140582819000000,30
workspaceModel.loading.total.ms,1735140522530000000,1735140582819000000,461
workspaceModel.updates.precise.ms,1735140522530000000,1735140582819000000,22
workspaceModel.cachedValueWithParameters.clear.count,1735140522530000000,1735140582819000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1735140522530000000,1735140582819000000,286
workspaceModel.workspaceFileIndexData.init.ms,1735140522530000000,1735140582819000000,175
workspaceModel.update.unloaded.entities.ms,1735140522530000000,1735140582819000000,0
workspaceModel.to.snapshot.ms,1735140522530000000,1735140582819000000,0
workspaceModel.updates.count,1735140522530000000,1735140582819000000,3
workspaceModel.init.bridges.ms,1735140522530000000,1735140582819000000,3
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1735140522530000000,1735140582819000000,0
workspaceModel.cachedValue.calculated.count,1735140522530000000,1735140582819000000,8
workspaceModel.entityStorageSnapshotImpl.instances.count,1735140522530000000,1735140582819000000,19
workspaceModel.on.changed.ms,1735140522530000000,1735140582819000000,13
workspaceModel.cachedValueWithParameters.total.get.count,1735140522530000000,1735140582819000000,0
workspaceModel.cachedValue.clear.count,1735140522530000000,1735140582819000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1735140522530000000,1735140582819000000,0
workspaceModel.cachedValue.from.cache.count,1735140522530000000,1735140582819000000,3645
workspaceModel.pre.handlers.ms,1735140522530000000,1735140582819000000,1
